Protein,Gene
A2P2R3,YMR084W
O13525,YDR204W
P00044,YJR048W
P00045,YEL039C
P00127,YFR033C
P00128,YDR529C
P00163,Q0105
P00175,YML054C
P00330,YOL086C
P00331,YMR303C
P00358,YJR009C
P00359,YGR192C
P00360,YJL052W
P00401,Q0045
P00410,Q0250
P00420,Q0275
P00425,YIL111W
P00427,YHR051W
P00431,YKR066C
P00498,YER055C
P00549,YAL038W
P00560,YCR012W
P00572,YJR057W
P00635,YBR093C
P00724,YIL162W
P00812,YPL111W
P00815,YCL030C
P00817,YBR011C
P00830,YJR121W
P00854,Q0085
P00856,Q0080
P00890,YNR001C
P00899,YER090W
P00912,YDR007W
P00924,YGR254W
P00925,YHR174W
P00927,YER086W
P00931,YGL026C
P00937,YKL211C
P00942,YDR050C
P00950,YKL152C
P00958,YGR264C
P03962,YEL021W
P03965,YJR109C
P04037,YGL187C
P04039,YLR395C
P04046,YMR300C
P04076,YHR018C
P04161,YDR408C
P04173,YCL018W
P04385,YBR020W
P04397,YBR019C
P04801,YIL078W
P04802,YLL018C
P04803,YDR268W
P04806,YFR053C
P04807,YGL253W
P05030,YGL008C
P05150,YJL088W
P05373,YGL040C
P05374,YGR157W
P05375,YJR073C
P05626,YPL078C
P05694,YER091C
P06106,YLR303W
P06115,YGR088W
P06168,YLR355C
P06169,YLR044C
P06174,YOR278W
P06197,YPR113W
P06208,YNL104C
P06633,YOR202W
P06700,YDL042C
P06738,YPR160W
P06773,YHR144C
P06776,YOR360C
P06785,YOR074C
P07143,YOR065W
P07149,YKL182W
P07170,YDR226W
P07172,YIL116W
P07236,YKL194C
P07244,YGL234W
P07245,YGR204W
P07246,YMR083W
P07250,YDR173C
P07251,YBL099W
P07255,YDL067C
P07256,YBL045C
P07257,YPR191W
P07258,YOR303W
P07259,YJL130C
P07262,YOR375C
P07263,YPR033C
P07264,YGL009C
P07275,YHR037W
P07277,YMR208W
P07283,YFL045C
P07284,YDR023W
P07285,YDR354W
P07342,YMR108W
P07347,YHR013C
P07702,YBR115C
P07806,YGR094W
P07807,YOR236W
P07991,YLR438W
P08004,YNL192W
P08019,YIL099W
P08067,YEL024W
P08417,YPL262W
P08425,YPR047W
P08431,YBR018C
P08432,YKL184W
P08456,YER026C
P08465,YNL277W
P08524,YJL167W
P08525,YJL166W
P08536,YJR010W
P08566,YDR127W
P08678,YJL005W
P08679,YCR005C
P09201,YLR377C
P09368,YLR142W
P09436,YBL076C
P09440,YBR084W
P09457,YDR298C
P09624,YFL018C
P09938,YJL026W
P09950,YDR232W
P0CW40,YIL172C
P0CW41,YJL221C
P0CX10,YOR393W
P0CX11,YPL281C
P0CX77,YLR157C
P0CX78,YLR158C
P0CX79,YLR160C
P0CZ17,YLR155C
P10127,YGL256W
P10174,YMR256C
P10356,YER152C
P10614,YHR007C
P10659,YLR180W
P10869,YER052C
P10963,YKR097W
P11154,YGL062W
P11325,YLR382C
P11353,YDR044W
P11412,YNL241C
P11491,YDR481C
P11986,YJL153C
P12683,YML075C
P12684,YLR450W
P12695,YNL071W
P12709,YBR196C
P12945,YDL040C
P13188,YOR168W
