,Modification,Size,BPCY,TargetFlux
0,"{'b3956': 16, 'b3403': 0}",2,0.8572131947589658,7.38033806993072
1,"{'b1761': 0.03125, 'b1136': 0.125, 'b0720': 8, 'b3956': 16}",4,0.29033686447707907,10.973554505978566
2,"{'b1761': 0.03125, 'b3403': 0, 'b2914': 4, 'b3956': 16, 'b1136': 2}",5,0.621729245791005,8.753395354899261
3,"{'b1136': 0.125, 'b0720': 8, 'b3403': 0, 'b3956': 16}",4,0.2903368644773381,10.97355450597807
4,"{'b3956': 16, 'b3403': 0, 'b1761': 0, 'b0720': 8}",4,0.5906475098953191,9.117232173580007
5,"{'b3956': 16, 'b3403': 0, 'b1761': 0, 'b1136': 4}",4,0.7752180928478782,8.749445542469884
6,"{'b3403': 0, 'b1761': 0.5, 'b3956': 16, 'b3734': 0.5}",4,0.8467194383747936,7.421536642403316
7,"{'b3403': 0, 'b3956': 16, 'b1136': 2, 'b3734': 0.5, 'b1761': 0.0625}",5,0.8038807904658486,8.057121802100289
8,"{'b0720': 8, 'b1761': 0.25, 'b3956': 16}",3,0.61897947266426,9.07007839158998
9,"{'b3403': 0, 'b1761': 0.25, 'b3956': 16, 'b1136': 2, 'b0720': 2}",5,0.8269236089628583,7.974331088885018
10,"{'b3403': 0, 'b2279': 8, 'b1761': 0.25, 'b3956': 16, 'b0720': 2}",5,0.8269236089628583,7.974331088885018
11,"{'b3403': 0, 'b2279': 8, 'b1761': 0.25, 'b3956': 16, 'b1136': 2}",5,0.8269236089628583,7.974331088885018
12,"{'b3403': 0, 'b1761': 0.5, 'b3956': 16}",3,0.8541502178368777,7.392432398726841
13,"{'b3956': 16, 'b3403': 0, 'b3734': 0.5}",3,0.8492993756524324,7.411469274178351
