genes	Glucose_medium	Xylose_medium
YGR121C	8.75635	12.7767
YIL009W	31.3484	18.6018
YER089C	40.9982	28.9029
YML037C	5.24355	1.31501
YDR383C	7.88679	4.49923
YNL030W	2002.41	270.067
YKL127W	17.9188	3.96444
YPL213W	14.7126	15.4539
YML117W	10.6467	16.1546
YDR371W	5.6638	1.53091
YFL046W	25.9604	12.358
YLR287C-A	9574.25	3069.86
YKL194C	6.06777	14.7601
YNL019C	9.05865	10.1058
Q0120	0	0.0980699
YGR152C	47.4548	20.2496
YLR455W	22.9785	18.9148
YOR269W	14.2762	5.74114
YJR039W	1.55809	3.28482
YDL092W	109.463	69.4659
YDR338C	7.89146	14.6276
YBR181C	1964.85	723.598
YDL110C	77.3258	184.855
YER184C	1.28414	1.88996
YMR085W	0.544671	4.52846
YFL038C	244.37	177.42
YPR139C	48.9479	9.61021
YCR011C	6.54581	4.50052
YPL119C	0.769691	6.35661
YNL199C	25.8602	15.5915
YLR023C	131.272	416.594
YGR275W	36.7658	24.9487
YBR272C	6.57795	6.93253
YAL062W	2.54699	6.42094
YHL018W	4.79795	3.57544
YLR038C	301.931	692.504
YGR121W-A	3.36173	2.82642
YNL271C	8.29616	8.49541
YGR240C	203.507	125.277
YGR170W	5.36793	2.08373
YKR090W	10.9539	4.8336
YPR075C	38.0879	67.0706
YPL055C	9.6475	21.1385
YHR008C	247.618	313.383
YHL022C	1.34898	1.90362
YHR026W	234.879	200.812
YOL052C	47.9451	34.9644
YDR238C	46.8423	14.8281
YOR022C	2.91487	3.59067
YML040W	0.808861	0.000734291
YIL144W	4.90165	3.04409
YJL104W	52.4095	85.867
YHL040C	38.7884	143.021
YAR014C	26.5119	13.7217
YIL031W	6.20806	5.08583
YHR088W	67.8104	46.7905
YJR005C-A	1.34734	8.50677
YNL165W	9.41215	11.031
YDL064W	98.8454	72.7956
YDR317W	3.13113	4.31476
YDR365C	46.3431	34.0839
YGR130C	4.92202	6.58895
YBL027W	1547.8	656.68
YMR179W	5.16353	2.08009
YDR224C	979.52	299.324
YNR058W	3.54412	2.64531
YJL146W	9.5121	10.3925
YHR175W-A	61.3032	110.144
YMR310C	90.3812	59.1157
YNL328C	3.21006	1.52577
YGL009C	93.1672	61.9447
YCL001W-B	12.977	28.5488
YBR155W	28.5225	17.2476
YDL197C	4.07077	3.71983
YLR263W	2.19247	1.40985
YNL132W	33.9765	14.6121
YNR044W	6.63423	4.00119
YGR161C	60.5421	87.5569
YDL022W	51.1409	68.2091
YLR210W	10.5391	2.48804
YPL236C	10.2595	17.0246
YFL017W-A	81.1823	79.4034
YHR050W	27.2212	68.0908
YHL048C-A	79.4502	86.2989
YML071C	5.58403	2.11498
YPL269W	3.65872	1.91193
YCR032W	2.6613	1.1435
YCL045C	43.7345	42.0563
YIR014W	1.58073	5.55481
YPL228W	8.71731	6.04773
YNL080C	64.0773	91.2966
YCR102C	24.6544	16.6852
YIL156W-B	99.7443	116.894
YGR062C	13.7702	32.4076
YIL132C	10.7535	3.39947
YLR052W	35.9041	16.8844
YER110C	95.138	56.2632
YOL019W-A	0	0
YBR165W	29.654	33.8679
YDR398W	90.7566	62.8702
YHR102W	8.74687	7.5529
YBR192W	28.6226	28.9602
YOR123C	28.883	15.6478
YJL034W	23.9745	93.481
YDR377W	256.18	994.038
YBR172C	47.5661	46.2293
YLR008C	128.628	131.884
YBL022C	7.64744	21.1142
YNL037C	109.091	598.284
YOR209C	99.2039	22.5787
YAL058W	13.5502	11.7985
YBR270C	5.88127	8.47784
YML053C	32.1219	17.103
YDR110W	27.2314	11.3154
YPR133W-A	746.012	1199.29
YDR325W	8.70955	3.37387
YNL049C	12.3317	8.52406
YFR039C	16.6252	16.4845
YHR104W	0	0
YJL035C	14.1947	24.8269
YNL200C	52.9102	372.944
YIL019W	33.006	21.7558
YOL020W	6.01026	2.8913
YPL208W	12.6737	9.11507
YBR182C-A	9.9086	21.0638
YHR197W	40.9054	19.3751
YBL014C	12.3845	8.75883
YMR036C	6.57239	4.19898
YKR045C	19.8602	28.3372
YLL013C	7.93618	11.5129
YML075C	365.179	215.881
YIL027C	42.4676	17.8468
YHR065C	49.5866	28.8112
YGL004C	8.56233	3.63737
YML072C	39.8226	8.85797
YOL164W	0	0
YDR253C	40.3256	27.6101
YER004W	41.3887	43.677
YPR072W	27.1458	12.2175
YDL060W	45.9027	20.3072
YOR037W	9.66316	9.32867
YBL095W	67.0314	163.307
YER042W	29.6631	24.3423
YOL124C	65.1349	27.6705
YGL041W-A	25.832	28.8128
YGL050W	24.7572	22.9869
YIL103W	33.1816	32.8708
YGL076C	1412.46	361.423
YBR048W	1607.47	575.987
YPL100W	5.82834	5.18769
YLR139C	9.49615	8.39993
YDR232W	112.101	155.433
YKL003C	48.9191	75.5622
YDR541C	52.1438	24.212
YGL056C	89.2496	66.8149
YER186C	26.412	31.1879
YPR164W	4.17903	1.90026
YDR080W	3.1291	1.71988
YJL077C	22.9663	32.6624
YCL001W	109.406	64.0852
YLR214W	21.6008	13.2965
YLR219W	7.96616	13.7399
YGL222C	24.9101	30.8069
YOR044W	102.015	122.009
YDL072C	67.5858	127.609
YGL181W	20.4534	26.9109
YFL050C	9.21778	12.1035
YBR142W	29.8062	17.1577
YOR083W	3.4317	2.25253
YBR066C	12.8367	16.6531
YLR074C	260.684	238.554
YBL044W	0.467619	0.995737
YCL032W	13.2704	6.83752
YGR289C	5.05521	11.2803
YOR134W	1.49414	18.2483
YBR108W	6.58847	9.46061
YNR023W	10.7156	9.27446
YLR075W	2913.61	1903.78
YKL045W	14.2835	6.46887
YHR022C-A	54.903	63.2878
YOL034W	2.72003	1.90642
YHR207C	28.1252	14.2477
YPR027C	22.1302	16.3261
YNR073C	6.72047	21.2436
YJL106W	1.63671	4.6072
YOR007C	82.7511	106.02
YBR242W	217.387	97.3056
YMR182C	60.4491	39.337
YDR108W	9.06106	4.94294
YLR227W-A	0.808861	0.000734291
YML004C	65.9116	150.554
YKL159C	7.45015	11.0635
YDR150W	4.92893	3.24089
YKR008W	16.9815	13.487
YIR019C	4.10412	0.949372
YOL017W	4.02659	0.220613
YNL183C	11.2269	29.6115
YER009W	861.729	255.594
YDR458C	15.2702	6.45156
YBR196C-A	29.6444	9.14027
YMR171C	26.9835	44.5222
YPL038W	21.077	13.1256
YIL164C	18.2382	5.05211
YGL208W	1.76742	9.03601
YLR345W	9.22692	34.0839
YER010C	60.242	28.1372
YMR160W	2.39849	2.24739
YER074W	2037.63	631.562
YNL321W	16.8133	26.7582
YLR069C	16.915	34.5663
YGL174W	9.35436	5.96052
YLR446W	6.99957	7.17384
YIL001W	11.3841	5.33493
YHR002W	3.98011	17.1598
YBR018C	0.19768	0.621912
YDR397C	47.5089	37.9595
YOR210W	610.986	285.927
YOR023C	6.31451	23.0104
YJL100W	22.2761	20.6762
YPR171W	10.4937	6.77872
YOR021C	88.2919	82.3158
YJL014W	77.4423	60.2554
YOR105W	17.2409	14.6325
YCL054W	49.1093	16.7167
YOR182C	3930.16	1818.25
YFL021W	10.6974	24.0066
YCL059C	56.5691	42.6182
YGL241W	8.9233	2.09027
YNL067W-B	8.58364	14.1531
YPR129W	33.2962	20.6475
YKL145W	47.1368	57.1994
YPR079W	18.6168	29.5749
YLR135W	4.22667	3.00658
YMR014W	27.1911	14.4417
YDR283C	2.73562	2.01487
YJL194W	4.26641	3.21789
YEL076C	4.53843	1.46559
YGR262C	37.9951	24.6835
YPL106C	194.993	170.414
YGL023C	18.6334	20.2638
YGR112W	3.96194	14.6011
YGR034W	2802.68	743.015
YER137C	33.9636	23.0733
YNL025C	6.38422	9.65813
YDR200C	3.48882	3.25265
YCR084C	98.4505	30.9969
YDR005C	31.2011	27.7799
YGL007C-A	18.9686	25.0419
YPL254W	16.7419	9.04374
YIL018W	2242.06	764.95
YDR177W	56.0888	57.4832
YDL090C	6.88479	5.56334
YBL011W	14.5898	27.7645
YAL049C	74.1996	101.95
YOL024W	0.855989	2.10368
YDL222C	0.804732	0.760088
YMR262W	4.65205	9.09361
YHR140W	5.35381	38.3333
YCL057C-A	181.258	527
YML115C	49.468	36.6118
YHR160C	1.16359	3.0449
YLR440C	6.4916	3.50468
YNL234W	12.0068	12.0064
YNL162W	2326.86	806.503
YLR450W	9.92431	20.7465
YPR010C	144.809	67.4546
YAL063C	1.44282	0.760684
YOR063W	1268.02	562.007
YBR215W	6.86674	3.7464
YLR452C	2.48827	0.859051
YER025W	143.97	70.5131
YNL147W	57.7244	44.2179
YGR276C	11.4415	11.49
YLR031W	4.48093	5.66902
YEL052W	17.6678	35.4507
YOR155C	7.69926	13.9303
YBL100W-C	34.0262	47.388
YMR028W	11.256	8.70676
YFL045C	599.219	154.402
YDL007W	44.2989	54.0554
YGR141W	6.57943	17.1222
YJR112W-A	57.3085	70.2095
YGR109W-A	2.10279	3.68799
YIL010W	15.0937	13.1454
YDR115W	105.635	226.843
YNL007C	24.9643	121.991
YOL019W	11.0199	0.760458
YPR173C	44.4064	22.5147
YKR104W	0	0
YFL041W	10.3232	36.7026
YJL047C-A	7.22275	23.5361
YDR454C	229.573	68.3211
YDL135C	55.1472	27.8015
YBR177C	142.801	364.857
YOR196C	40.4285	46.8152
YPR156C	30.2945	94.7129
YNL102W	5.31625	0.606123
YDL076C	19.7387	29.2239
YLR348C	17.2201	4.44718
YOR192C-B	1.04089	0.874993
YJL214W	0.12892	0.709298
YER149C	17.6648	10.4446
YGR086C	58.7936	64.2403
YDR435C	13.5331	19.6734
YHR155W	5.51475	5.57355
YGL154C	16.6811	9.25613
YIL070C	34.4552	71.769
YDR506C	1.0056	2.50704
YER157W	12.7666	3.23024
YIL121W	225.712	621.157
YCR106W	8.07293	6.20357
YCL009C	229.59	95.7711
YKL218C	10.3423	5.13253
YOR152C	8.66889	128.382
YBR262C	105.087	185.503
YKR038C	44.6205	37.4157
YJL052C-A	16.9478	25.918
YLR454W	2.79991	1.31738
YOL157C	0.998362	2.92074
YBR145W	39.6472	25.8651
YLR312C	1.54169	32.6788
YER163C	47.5115	86.4376
YNL078W	4.41378	4.61995
YBL005W-A	0	0
YDR438W	25.4799	64.0564
YLR154C-G	33720.5	66303.5
YDR027C	5.73172	5.61733
YIL126W	12.6355	6.97659
YBR213W	36.5174	17.9545
YKL026C	3.95378	130.643
YDL138W	27.3203	55.1066
YDL003W	10.3128	0.835362
YFL044C	5.97977	17.2602
YHR133C	47.1258	18.9646
YPL030W	28.5374	19.2518
YNL068C	15.5064	6.35908
YOR389W	20.4778	36.4471
YMR195W	376.628	826.425
YDR310C	17.514	6.18096
YER053C-A	6138.66	33176.8
YLR384C	24.5008	14.5586
YBL024W	57.1519	17.2908
YGL035C	38.7928	31.2657
YNL107W	19.2282	14.415
YHR091C	5.50146	6.20777
YPL068C	19.5157	14.4295
YFR055W	9.8007	3.74272
YNL313C	40.1674	19.0981
YBR056W-A	36.0058	21.3077
YDR225W	712.9	481.828
YOL053W	3.79079	5.0095
YOR036W	7.71845	17.4676
YKL057C	24.1042	7.05093
YJR121W	169.26	599.182
YDL200C	12.5106	12.6446
YPR135W	6.01572	0.701367
YPL216W	3.9023	3.23281
YDR289C	7.94191	6.15111
YLR406C-A	2.47037	3.05955
YPR152C	3.7933	5.29391
YPL166W	4.359	14.2081
YHR082C	11.7903	15.2158
YHL027W	51.2934	44.9568
YDL036C	21.8106	6.57063
YNL299W	14.628	11.5047
YGR057C	36.5324	27.9798
YLR451W	16.1785	12.0245
YHR054C	3.10684	3.7864
YGR229C	103.3	74.9752
YER075C	5.53865	4.45434
YPR034W	31.6847	20.2576
YGR155W	465.109	170.912
YPR070W	16.7927	9.18898
YCL019W	1.36932	0.678845
YFL066C	4.09046	6.22182
YPL237W	217.326	141.209
YMR291W	15.9136	10.745
YAL067C	3.40657	2.37287
YMR054W	17.7986	29.0096
YNL287W	33.4324	12.329
YHR041C	20.2775	10.6389
YMR072W	114.688	23.8629
YMR190C	2.6292	2.48897
YOR156C	3.01558	4.5939
YKL204W	12.1801	4.50867
YJR017C	79.9323	53.928
YCR004C	67.7447	62.5394
YDR243C	5.67901	4.07805
YGR013W	10.5603	8.31468
YDR266C	26.8512	19.1493
YAL007C	103.979	22.0646
