GENEID;Series1_NHBE_Mock_1;Series1_NHBE_Mock_2;Series1_NHBE_Mock_3;Series1_NHBE_SARS.CoV.2_1;Series1_NHBE_SARS.CoV.2_2;Series1_NHBE_SARS.CoV.2_3;Series2_A549_Mock_1;Series2_A549_Mock_2;Series2_A549_Mock_3;Series2_A549_SARS.CoV.2_1;Series2_A549_SARS.CoV.2_2;Series2_A549_SARS.CoV.2_3;Series3_A549_Mock_1;Series3_A549_Mock_2;Series3_A549_RSV_1;Series3_A549_RSV_2;Series4_A549_Mock_1;Series4_A549_Mock_2;Series4_A549_IAV_1;Series4_A549_IAV_2;Series5_A549_Mock_1;Series5_A549_Mock_2;Series5_A549_Mock_3;Series5_A549_SARS.CoV.2_1;Series5_A549_SARS.CoV.2_2;Series5_A549_SARS.CoV.2_3;Series6_A549.ACE2_Mock_1;Series6_A549.ACE2_Mock_2;Series6_A549.ACE2_Mock_3;Series6_A549.ACE2_SARS.CoV.2_1;Series6_A549.ACE2_SARS.CoV.2_2;Series6_A549.ACE2_SARS.CoV.2_3;Series7_Calu3_Mock_1;Series7_Calu3_Mock_2;Series7_Calu3_Mock_3;Series7_Calu3_SARS.CoV.2_1;Series7_Calu3_SARS.CoV.2_2;Series7_Calu3_SARS.CoV.2_3;Series8_A549_Mock_1;Series8_A549_Mock_2;Series8_A549_Mock_3;Series8_A549_RSV_1;Series8_A549_RSV_2;Series8_A549_RSV_3;Series8_A549_HPIV3_3;Series8_A549_HPIV3_2;Series8_A549_HPIV3_1;Series9_NHBE_Mock_1;Series9_NHBE_Mock_2;Series9_NHBE_Mock_3;Series9_NHBE_Mock_4;Series9_NHBE_IAV_1;Series9_NHBE_IAV_2;Series9_NHBE_IAV_3;Series9_NHBE_IAV_4;Series9_NHBE_IAVdNS1_1;Series9_NHBE_IAVdNS1_2;Series9_NHBE_IAVdNS1_3;Series9_NHBE_IAVdNS1_4;Series9_NHBE_IFNB_4h_1;Series9_NHBE_IFNB_4h_2;Series9_NHBE_IFNB_6h_1;Series9_NHBE_IFNB_6h_2;Series9_NHBE_IFNB_12h_1;Series9_NHBE_IFNB_12h_2;Series15_HealthyLungBiopsy_2;Series15_HealthyLungBiopsy_1;Series15_COVID19Lung_2;Series15_COVID19Lung_1;Series16_A549.ACE2_Mock_1;Series16_A549.ACE2_Mock_2;Series16_A549.ACE2_Mock_3;Series16_A549.ACE2_SARS.CoV.2_1;Series16_A549.ACE2_SARS.CoV.2_2;Series16_A549.ACE2_SARS.CoV.2_3;Series16_A549.ACE2_SARS.CoV.2_Rux_1;Series16_A549.ACE2_SARS.CoV.2_Rux_2;Series16_A549.ACE2_SARS.CoV.2_Rux_3
ENSG00000000419;120.0343927;131.4517534;170.4529531;125.2651391;132.3448197;107.6200077;88.4081649;89.84421663;77.63745357;116.6868666;97.60772481;101.3172627;48.83626662;77.56887419;50.46394274;46.66286507;92.74667522;126.1302364;155.8373595;102.0288859;89.88513646;88.66264369;107.0769766;125.4303317;107.2434872;112.341517;96.49601568;79.62687414;75.60182924;146.4944982;132.2944712;185.1193382;183.2122074;155.0418931;160.1907099;192.3639219;169.7079004;164.5511632;13.68776647;93.57585771;98.32746381;116.4550655;104.1352554;117.9085008;118.3834852;104.8243299;130.6410382;56.97015748;60.53232714;114.882598;109.4427138;97.37809621;77.0126562;98.40784772;114.6058504;102.652503;71.28585661;95.11840208;78.82814215;112.1137778;114.1255561;121.7831785;118.4897751;103.2512384;97.16485516;61.45667647;113.1453072;12.69146715;0.0;145.446032;153.8354857;135.2976514;423.3928099;421.4745416;494.2561035;438.2597093;512.5587795;456.8326353
ENSG00000000938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000001036;50.24431397;58.17247405;56.37580035;43.91428706;58.29268117;50.8528514;67.75096717;63.19128098;76.46797877;74.71366962;71.97045315;72.34284975;78.40551967;88.15745384;62.14283781;52.98892784;85.93056154;81.69555707;70.00857125;74.11636111;67.93124582;67.64510438;74.28748605;74.12913631;70.54124961;80.00991011;79.56900141;75.37009156;72.41212942;51.93107934;42.13823898;42.16836663;54.55409604;55.59213392;59.76690923;36.557818;45.69971117;38.55357163;31.55956154;77.38265267;86.47959437;85.63795983;70.61991143;85.28764328;81.02189412;86.57897285;82.26584041;38.67224829;37.01770111;41.78855032;47.93996102;43.28553346;44.74310645;47.29645043;49.41078045;45.00323201;39.38271669;36.43250037;29.88231274;43.60785552;43.03173939;44.42405252;48.11304803;42.63790356;33.01250181;37.25396744;27.35475298;16.58937059;7.657940299;76.92577728;78.18719034;68.18059952;47.15551754;34.3567833;27.62911395;38.07969993;37.3688698;43.24107649
ENSG00000001084;115.9330227;130.8616932;142.0530635;95.40029721;102.2577212;90.21805733;130.5461862;123.0161106;128.9155553;133.3997405;120.3075329;127.4631396;50.92877959;73.58438173;32.90435918;39.26865995;202.7178648;198.1390526;197.7521368;123.9323153;133.5986275;148.0143625;148.0878244;107.0280086;105.6275046;106.8630266;64.63116439;58.67886543;58.44202397;60.00693785;55.68132563;81.99132419;27.22504796;20.34186554;28.44142095;25.57924183;26.38355383;20.42288825;9.119836141;153.5332367;173.3644308;114.2789267;96.99073243;108.7181823;137.5890408;106.2417;155.060857;54.03534422;61.72015451;56.73624044;65.92077556;73.2842096;56.92630755;75.6614644;78.00686247;46.12327664;38.97171119;62.56046108;30.96411674;55.08949742;55.18120164;58.43848134;59.25826266;57.02574936;47.81832291;10.08330047;8.113248841;4.885703559;0.0;135.2842813;134.1735118;121.5296719;60.00596485;56.96035872;53.15600422;67.63276403;70.02692806;66.07392598
ENSG00000001630;123.5124016;136.2903897;145.305417;121.4267381;140.753268;134.5117269;146.768611;142.9905829;133.8843051;183.088297;138.9240373;157.4978819;112.7498946;120.6017803;84.28899675;86.46579216;159.0034939;157.2820265;323.5861287;214.5427421;107.3213003;115.3777975;122.6169604;88.5768018;110.8591279;92.09164934;100.6720264;117.6771913;108.901021;67.70173759;65.22626672;74.4818698;115.6505047;76.55158495;97.59594059;49.65320074;53.63623555;45.0755528;31.05466453;119.4273596;133.068803;196.318383;172.9165153;186.4422133;167.2196341;170.2677448;203.2576253;111.1936409;105.8682626;123.2157626;143.4856055;192.5281002;156.4904522;156.1688741;180.3561545;143.1899422;111.0319261;142.4223254;79.303485;191.4542921;189.4852131;212.8628993;214.7207883;186.2401962;137.9598577;29.05048085;37.70365168;86.03900029;52.35434614;66.98802194;86.18242169;75.70836076;52.23669309;53.01101348;42.89068905;67.40843688;51.95401692;68.66252768
ENSG00000002549;56.38887868;51.19745946;47.9906231;59.58981365;66.01081667;63.75434088;42.81155574;45.99168232;49.93349044;87.26377538;90.61073287;88.14520668;15.98266362;24.5786073;78.6106121;100.7325341;53.80779332;53.25479166;73.69839177;52.73615092;40.60812873;48.37571828;49.67820723;41.83184987;36.59896785;39.02229954;23.85579614;26.20374174;24.96834606;24.81916193;27.99183018;20.37924102;69.00405492;61.35395044;68.49096186;232.5319319;211.1713325;214.7865288;10.51024925;46.74300957;49.28323274;191.6776492;232.0246233;179.6251789;275.7224662;256.6309761;289.6194744;32.32557989;30.1493058;31.4679464;35.00618723;58.18051433;55.7620156;76.25896223;74.53862215;174.3357904;135.9564376;196.7313822;157.4076513;85.25415406;81.80402551;119.3668456;134.7079097;191.5342579;169.1884793;121.6704683;166.8933352;174.7645245;26.09169659;37.01207173;37.73014571;34.68498687;231.8328907;199.0321864;131.1302677;27.029787;21.96912716;24.72179329
ENSG00000002587;2.1260431;3.036326491;3.458344492;2.741030109;2.745598385;2.522045745;1.040513078;0.642341932;1.062697322;1.060438459;0.959461658;1.060433788;0.817217911;1.453877527;1.740089442;0.868954657;1.005691175;0.484612143;0.581060487;0.594896417;0.756203515;0.811693878;0.647963563;0.582611748;0.591027326;0.520639291;0.092673003;0.512363665;0.183077956;0.234818166;0.794505902;0.0;25.54769393;24.90072207;28.43322202;42.72751172;39.33049267;47.25125557;0.0;1.189670992;1.198839527;1.086466118;0.760356588;0.793082877;0.557712559;0.533025856;0.926664646;3.194673383;4.568714635;3.706900453;4.96527452;3.676329138;3.912837416;1.714217385;3.574376862;20.77603708;18.69279796;12.42386875;9.760849347;8.17198497;9.041063984;11.48095607;11.2927922;4.170157256;4.614102078;1.08390454;1.337238875;0.0;0.0;0.631133482;0.267944411;0.421173959;0.421678637;0.961702833;0.775012488;0.648632522;0.585769007;1.567741685
ENSG00000002726;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ENSG00000002746;0.018724791;0.0;0.013097295;0.041111734;0.021439203;0.0;2.843612728;2.713340469;2.565683872;2.200459349;2.429058392;3.060491668;1.298152433;1.296219045;1.043415528;1.357483116;3.808710892;3.95295927;3.168817328;2.252966436;2.951980649;2.901867868;2.984521717;4.010533646;3.230430953;3.018806528;5.767561962;4.527604448;5.546760471;4.980042934;4.4130812;3.395462245;0.026988324;0.027314397;0.038897444;0.040336307;0.049485306;0.025563993;0.478947634;3.475649397;4.669913956;3.980654007;4.463364761;3.990403848;3.067202321;2.804865051;2.874386174;0.0;0.0;0.0;0.015935828;0.008047883;0.0;0.061828679;0.062961526;0.017741178;0.0;0.0;0.024359719;0.01480794;0.015599059;0.021471698;0.0;0.0;0.0;0.34733915;0.011777522;0.0;0.0;2.772634218;2.415099505;2.110376657;1.357418907;1.31116324;1.174037747;1.692237321;1.996559549;1.187456941
ENSG00000003137;4.002447806;5.011933683;4.264755589;4.804482109;3.426285512;3.930026999;24.27558779;25.23277324;21.95883682;22.0458739;22.25374653;24.23415917;9.170962623;10.54102173;12.12246377;8.135431886;18.37761824;15.68064857;11.72271931;17.32767817;19.34160498;20.33859224;20.93361529;21.20908391;21.87372273;18.56717141;15.61157551;18.08936807;17.00183698;26.52935805;28.05060287;22.15790258;0.485225197;0.300109148;0.336719356;0.295455775;0.593133471;0.408548472;0.7773853;22.97262683;23.47791346;19.72721235;19.9898904;19.54310975;18.30844335;22.58263391;15.45690655;2.572865006;2.601641279;1.488080693;1.782738219;3.135026277;3.193091178;2.964327129;1.886650391;2.551760289;2.642849736;5.717095182;1.922181072;12.15797891;9.722498905;6.047981179;5.336808385;3.886516879;4.2642159;1.072345899;4.093813718;0.0;0.0;6.875780492;7.622033246;8.921909901;35.09235996;55.15036507;53.64979726;26.39002873;44.87037637;44.62613814
ENSG00000003987;0.0;0.116029698;0.0;0.0;0.0;0.0;0.512249206;0.276933207;0.232660006;0.773884883;0.607730211;0.33303589;1.351812406;1.400530748;1.57465041;0.989264915;0.325188114;0.261163852;1.465500499;1.667106984;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.050528962;0.0;0.0;0.045771487;0.047290885;0.0;0.0;0.0;0.0;0.0;0.0;0.033976193;0.0;0.0;0.28879315;0.550672252;0.689001746;0.412716108;0.550848453;0.431213112;0.915016045;0.34941799;0.393833323;0.520713034;0.987051771;0.653414908;0.712224235;0.923415421;0.675249196;0.736969502;0.508097098;0.580703052;1.226673842;1.176512171;0.266992704;0.0;0.353731173;0.60069886;1.044090435;1.477113034;1.751767117;1.628891217;1.716711254;1.231146603;1.922094258
ENSG00000003989;0.093439442;0.417323072;0.114375479;0.435951306;0.267461888;0.337907936;3.520937591;3.525059911;3.577347169;5.563371683;3.999053973;4.025391397;9.459552565;12.43577903;5.172540641;3.694930368;3.435704268;3.099775499;3.587176863;3.091723679;6.609628554;7.332410869;6.387527682;12.85634305;12.99587778;10.63660697;8.158501971;7.746311126;5.816945285;26.92207004;24.27416151;23.15659843;3.939263575;2.879397323;4.609968241;7.531378642;5.926533697;6.139212711;0.373440413;5.941925278;7.444190439;3.557383035;2.829010177;3.452604895;7.217549516;6.415147868;8.422699349;0.194756246;0.371362204;0.178711081;0.318088431;0.51204142;0.415430545;0.694201807;0.785468032;0.154929372;0.105347495;0.756417848;0.197532655;0.166261011;0.233524741;0.482161097;0.380056754;0.314096185;0.23496862;14.18132526;21.1063338;5.041525092;4.820742815;8.468494206;9.418554881;8.26567933;29.78443913;28.17080249;26.27224829;20.77077397;16.25926445;19.62849556
ENSG00000004455;117.7078167;97.96285829;92.26402833;101.6741896;112.3708818;105.0164112;56.12013146;54.82494913;59.11950131;60.70615455;58.52678975;60.20369248;42.85634584;45.96380125;57.3192521;45.72705556;53.26968653;57.0558502;64.2199844;58.72771873;59.74994048;63.8654358;63.60927188;60.14328344;58.82796151;62.47041412;54.86644451;57.96512911;50.44844933;36.14458772;41.48523072;39.98752624;100.6412495;88.67637141;96.40747866;54.86026357;55.4881228;50.96923837;38.82107703;68.03490698;66.50991212;87.81601764;84.75472051;88.13687304;84.67257459;82.90095419;86.51142748;78.10824705;76.31228116;74.37351341;75.42368066;68.43083155;66.14227377;78.25297814;79.21202849;63.75019852;54.09007513;58.46576263;49.88011418;64.82184446;66.40310176;62.63082029;64.77113869;67.94679357;58.74373366;48.02515686;106.3346012;45.70576793;16.64921387;71.6765121;69.77887986;70.57417791;82.73953733;99.80318805;114.6048833;79.49673827;104.7809664;104.8829191
